objectid,id_punto,nombreestablecimiento,direccion,municipio,barrio,estado,longitud,latitud
437,437,La Bomba,CR 50 A 44 45,Itagui,Itagui,En servicio,-75.61373025,6.17056979
438,438,La Comparcita,CL 9 SUR 52B 86,Medellín,Guayabal,En servicio,-75.58995691,6.20132676
439,439,La Finca,CL 29 B 54 B 57,Itagui,Itagui,En servicio,-75.62636327,6.1627688
440,440,La Iglesia,CL 42 SUR 80 13,Medellín,Resto San Antonio De Prado,En servicio,-75.65638503,6.18442794
441,441,La Quinta,CL 80 SUR 57B 04,La Estrella,La Estrella,En servicio,-75.64104011,6.1572848
442,442,La Reja Negra,CL 30 A 56 A 09,Itagui,Itagui,En servicio,-75.626711,6.163444
443,443,Leys Jor,CL 6 CS 83 A 41,Medellín,Guayabal,En servicio,-75.60353733,6.21821013
444,444,Loncheria,CL 7 NRO 52 35,Medellín,Guayabal,En servicio,-75.58371,6.21273
445,445,Los Lonchos 2,CR 78 SUR N° 43  05,Medellín,Resto San Antonio De Prado,En servicio,-75.65558,6.18355
446,446,Magnet Intermet,CR 62 A 74 SUR 167,La Estrella,La Estrella,En servicio,-75.6444063,6.16143091
447,447,Margarita,CR 53 34 78,Itagui,Itagui,En servicio,-75.62303101,6.16712934
448,448,Maylu Store Ly,CR 58 77 50,Itagui,Itagui,En servicio,-75.59992,6.19041
449,449,Mega Banco Carlos Uribe,CR 49 52 14,Itagui,Itagui,En servicio,-75.60771543,6.17173963
450,450,Mekatos Jl,CR 63 24 A 44,Itagui,Itagui,En servicio,-75.643245,6.167317
451,451,Mercados La Bonanza,CL 77 52 27,Itagui,Itagui,En servicio,-75.59575865,6.18607059
452,452,Merka Chepa,CR 68 151 500,Itagui,Itagui,En servicio,-75.640153,6.171167
453,453,Merka Paisa La Estrella,CL 81 SUR59 101 INT,La Estrella,La Estrella,En servicio,-75.642675,6.156974
454,454,Merke Paisa San Antonio De Prado,CR 79 41 SUR 56,Medellín,Resto San Antonio De Prado,En servicio,-75.656105,6.184858
455,455,Merquemos,CL 2 52 54,Medellín,Guayabal,En servicio,-75.58539446,6.20925393
456,456,METRO 212,CL 51 SUR 48 01(ITA2 12),Itagui,Itagui,En servicio,-75.60836656,6.17072149
457,457,Mirador De La Estrella,CRA 59 82 SUR 13 LOCAL 2,La Estrella,La Estrella,En servicio,-75.642732,6.155898
458,458,Mis Bohios,CR 56D 76B SUR 55,La Estrella,La Estrella,En servicio,-75.63886013,6.16100782
459,459,Miscelanea Sandra,CL 77 SUR 50 A 184,La Estrella,La Estrella,En servicio,-75.63353,6.14094
460,460,Miscelanea Y Cafeteria El Tornado,CL 47 48 04,Itagui,Itagui,En servicio,-75.61102325,6.16940355
461,461,Miscelania G Y G,CRA 51 5 SUR 26,Medellín,Guayabal,En servicio,-75.58488,6.20403
462,462,Multiservicios Esmo,CR 55 1 13,Medellín,Guayabal,En servicio,-75.5872,6.2081
463,463,Nueva Manuela,CR 61 77 SUR 53,La Estrella,La Estrella,En servicio,-75.643191,6.159293
464,464,Nuevo Porvenir,CR 57 NO 83 05,Itagui,Itagui,En servicio,-75.59767,6.192631
465,465,Nuevo San Jose,CL 35 38A 03,Itagui,Itagui,En servicio,-75.613876,6.165877
466,466,Nuevo Simon Bolivar,CR 45 A 64 33,Itagui,Itagui,En servicio,-75.5982645,6.17757451
467,467,Of Mega 15,CR 50 48 20,Itagui,Itagui,En servicio,-75.61096296,6.1711482
468,468,Of.Le Apuesto San Pio,CR 50 A 33 05,Itagui,Itagui,En servicio,-75.62179407,6.16504536
469,469,Oficina Belén La 30,CL 30 76 12,Medellín,Belen,En servicio,-75.59635785,6.23141008
470,470,Oficina Gildardo,CL 56 59 11,Itagui,Itagui,En servicio,-75.60940933,6.1789984
471,471,Oficina Principal Candilejas,CR 52 45 A 37,Itagui,Itagui,En servicio,-75.61337572,6.1721163
